2022-05-19 10:05:482 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:655 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (bc70757b1325ff85a39c2bdbadadc87a)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:869 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (bc70757b1325ff85a39c2bdbadadc87a)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 10:05:223 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (bc70757b1325ff85a39c2bdbadadc87a)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:760 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:570 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (13fe468602a80e031bcfa93e1d7699d8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:65 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (13fe468602a80e031bcfa93e1d7699d8)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 10:05:77 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (13fe468602a80e031bcfa93e1d7699d8)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:266 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:337 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:39 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:170 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:345 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (d2248f891c775b5b89e399b7d32cfe25)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:849 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (d2248f891c775b5b89e399b7d32cfe25)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 10:05:564 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (d2248f891c775b5b89e399b7d32cfe25)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:274 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:591 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:882 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (2e6b525d88c4045457274d589133a6cf)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:962 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:98 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:956 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (50949c8258d4c4b02f164d98060e3ffc)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:254 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:586 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (61859eaf2d192f91e9ed7b1889d3a43d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:606 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:10 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (a31e3196129b92e83f2c870906817ecf)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:927 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:485 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (43b909a690abf66095d2e431ff18c1b5)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:757 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (43b909a690abf66095d2e431ff18c1b5)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 10:05:477 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:897 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (0cf0096097119747f42f166c49fe64c1)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:843 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (0cf0096097119747f42f166c49fe64c1)] -> xpath: //a[contains(text(),'Search Cars')]]
